imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt4034228,Manchester by the Sea,Manchester by the Sea,2016,2017-01-13,Drama,137,USA,English,Kenneth Lonergan,Kenneth Lonergan,Amazon Studios,"Casey Affleck, Ben O'Brien, Kyle Chandler, Richard Donelly, Virginia Loring Cooke, Quincy Tyler Bernstine, Missy Yager, Stephen McKinley Henderson, Ben Hanson, Mary Mallen, Lewis D. Wheeler, Anthony Estrella, C.J. Wilson, Susan Pourfar, Robert Sella",A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,7.8,221835,$ 9000000,$ 47695371,$ 78988148,96.0,720.0,492.0
tt6155172,Roma,Roma,2018,2018-11-29,Drama,135,Mexico,"Spanish, Mixtec, English, Japanese, German, French, Norwegian",Alfonso Cuarón,Alfonso Cuarón,Esperanto Filmoj,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta, Marco Graf, Daniela Demesa, Nancy García García, Verónica García, Andy Cortés, Fernando Grediaga, Jorge Antonio Guerrero, José Manuel Guerrero Mendoza, Latin Lover, Zarela Lizbeth Chinolla Arellano, José Luis López Gómez",A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,7.8,116797,,,$ 1148031,96.0,1044.0,378.0
tt0044081,A Streetcar Named Desire,A Streetcar Named Desire,1951,1951-12-01,Drama,122,USA,"English, Spanish",Elia Kazan,"Tennessee Williams, Oscar Saul",Charles K. Feldman Group,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden, Rudy Bond, Nick Dennis, Peg Hillias, Wright King, Richard Garrick, Ann Dere, Edna Thomas, Mickey Kuhn",Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,8.0,93287,$ 1800000,,$ 42818,96.0,266.0,79.0
tt0245429,Sen to Chihiro no kamikakushi,Sen to Chihiro no kamikakushi,2001,2003-09-12,"Animation, Adventure, Family",125,Japan,"Japanese, English",Hayao Miyazaki,Hayao Miyazaki,Tokuma Shoten,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô, Yasuko Sawaguchi, Tatsuya Gashûin, Ryûnosuke Kamiki, Yumi Tamai, Yô Ôizumi, Koba Hayashi, Tsunehiko Kamijô, Takehiko Ono, Bunta Sugawara, Shigeru Wakita, Shirô Saitô","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",8.6,577019,$ 19000000,$ 13750644,$ 347742810,96.0,1092.0,275.0
tt0058182,A Hard Day's Night,A Hard Day's Night,1964,1964-07-24,"Comedy, Music, Musical",87,UK,"English, German, French",Richard Lester,Alun Owen,Walter Shenson Films,"The Beatles, John Lennon, Paul McCartney, George Harrison, Ringo Starr, Wilfrid Brambell, Norman Rossington, John Junkin, Victor Spinetti, Anna Quayle, Deryck Guyler, Richard Vernon, Edward Malin, Robin Ray, Lionel Blair","Over two ""typical"" days in the life of",7.6,37610,$ 560000,$ 1480356,$ 2360561,96.0,239.0,85.0
tt0382932,Ratatouille,Ratatouille,2007,2007-10-12,"Animation, Adventure, Comedy",111,USA,"English, French","Brad Bird, Jan Pinkava","Brad Bird, Jan Pinkava",Walt Disney Pictures,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn, Peter O'Toole, Brad Garrett, Janeane Garofalo, Will Arnett, Julius Callahan, James Remar, John Ratzenberger, Teddy Newton, Tony Fucile, Jake Steinfeld",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,8.0,595590,$ 150000000,$ 206445654,$ 623722818,96.0,693.0,332.0
tt0073440,Nashville,Nashville,1975,1976-01-16,"Comedy, Drama, Music",160,USA,English,Robert Altman,Joan Tewkesbury,ABC Entertainment,"David Arkin, Barbara Baxley, Ned Beatty, Karen Black, Ronee Blakley, Timothy Brown, Keith Carradine, Geraldine Chaplin, Robert DoQui, Shelley Duvall, Allen Garfield, Henry Gibson, Scott Glenn, Jeff Goldblum, Barbara Harris","Over the course of a few hectic days, numerous interrelated people prepare for a political convention as secrets and lies are surfaced and revealed.",7.7,21679,$ 2200000,$ 9984123,$ 9984123,96.0,173.0,103.0
tt0089881,Ran,Ran,1985,1985-06-01,"Action, Drama",162,"Japan, France",Japanese,Akira Kurosawa,"Akira Kurosawa, Hideo Oguni",Greenwich Film Productions,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû, Mieko Harada, Yoshiko Miyazaki, Hisashi Igawa, Pîtâ, Masayuki Yui, Kazuo Katô, Norio Matsui, Toshiya Ito, Kenji Kodama, Takashi Watanabe, Mansai Nomura","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",8.2,102216,$ 11500000,$ 4135750,$ 4160924,96.0,262.0,155.0
tt0050083,12 Angry Men,12 Angry Men,1957,1957-04-10,Drama,96,USA,English,Sidney Lumet,"Reginald Rose, Reginald Rose",Orion-Nova Productions,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley, George Voskovec, Robert Webber",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,8.9,617540,$ 350000,,$ 576,96.0,1366.0,213.0
tt0070379,Mean Streets,Mean Streets,1973,1977-09-30,"Crime, Drama, Thriller",112,USA,"English, Italian",Martin Scorsese,"Martin Scorsese, Mardik Martin",Warner Bros.,"Robert De Niro, Harvey Keitel, David Proval, Amy Robinson, Richard Romanus, Cesare Danova, Victor Argo, George Memmoli, Lenny Scaletta, Jeannie Bell, Murray Moston, David Carradine, Robert Carradine, Lois Walden, Harry Northup",A small-time hood aspires to work his way up the ranks of a local mob.,7.3,88695,$ 500000,$ 32645,$ 41131,96.0,264.0,128.0
